Date,Description,Withdrawal,Deposit
2026-01-01,Work Co.,,2600.00
2026-01-01,Sunrise Mortgage Co,2100.00,
2026-01-01,Savings Transfer Emergency Fund,500.00,
2026-01-03,Shell Gas Station,62.50,
2026-01-05,CityGas and Power,118.40,
2026-01-07,FreshMart Grocery,134.25,
2026-01-10,Netflix Subscription,22.99,
2026-01-10,Spotify Subscription,10.99,
2026-01-12,Maple Street Diner,38.50,
2026-01-15,Work Co.,,2600.00
2026-01-15,Amazon Prime Membership,14.99,
2026-01-16,Whole Foods Market,87.30,
2026-01-19,ExxonMobil Fuel,58.20,
2026-01-22,FreshMart Grocery,112.75,
2026-01-25,Bella Pasta Restaurant,67.80,
2026-01-28,AMC Cinemas,32.00,
2026-01-28,Freelance.com,,800.00
2026-02-01,Work Co.,,2600.00
2026-02-01,Sunrise Mortgage Co,2100.00,
2026-02-01,Savings Transfer Emergency Fund,500.00,
2026-02-04,Shell Gas Station,55.90,
2026-02-05,CityGas and Power,132.60,
2026-02-08,FreshMart Grocery,145.20,
2026-02-10,Netflix Subscription,22.99,
2026-02-10,Spotify Subscription,10.99,
2026-02-13,Sakura Sushi Bar,78.50,
2026-02-15,Work Co.,,2600.00
2026-02-15,Amazon Prime Membership,14.99,
2026-02-18,Whole Foods Market,65.40,
2026-02-21,ExxonMobil Fuel,61.30,
2026-02-24,FreshMart Grocery,98.75,
2026-02-27,The Burger Joint,28.40,
2026-02-28,Freelance.com,,800.00
2026-03-01,Work Co.,,2600.00
2026-03-01,Sunrise Mortgage Co,2100.00,
2026-03-01,Savings Transfer Emergency Fund,500.00,
2026-03-04,Shell Gas Station,59.80,
2026-03-06,CityGas and Power,105.20,
2026-03-09,FreshMart Grocery,128.60,
2026-03-10,Netflix Subscription,22.99,
2026-03-10,Spotify Subscription,10.99,
2026-03-14,Bella Pasta Restaurant,55.20,
2026-03-15,Work Co.,,2600.00
2026-03-15,Amazon Prime Membership,14.99,
2026-03-17,Whole Foods Market,72.35,
2026-03-20,Target Store,89.40,
2026-03-22,ExxonMobil Fuel,63.50,
2026-03-26,FreshMart Grocery,115.80,
2026-03-28,Freelance.com,,800.00
2026-03-29,Maple Street Diner,42.60,
2026-04-01,Work Co.,,2600.00
2026-04-01,Sunrise Mortgage Co,2100.00,
2026-04-01,Savings Transfer Emergency Fund,500.00,
2026-04-03,ExxonMobil Fuel,67.20,
2026-04-06,CityGas and Power,88.40,
2026-04-08,FreshMart Grocery,141.30,
2026-04-10,Netflix Subscription,22.99,
2026-04-10,Spotify Subscription,10.99,
2026-04-12,Sakura Sushi Bar,82.40,
2026-04-15,Work Co.,,2600.00
2026-04-15,Amazon Prime Membership,14.99,
2026-04-17,Shell Gas Station,57.30,
2026-04-19,Whole Foods Market,93.50,
2026-04-21,CVS Pharmacy,34.80,
2026-04-24,FreshMart Grocery,106.20,
2026-04-27,The Burger Joint,31.50,
2026-04-28,Freelance.com,,800.00
2026-04-29,AMC Cinemas,38.50,
2026-05-01,Work Co.,,2600.00
2026-05-01,Sunrise Mortgage Co,2100.00,
2026-05-01,Savings Transfer Emergency Fund,500.00,
2026-05-04,Shell Gas Station,64.70,
2026-05-06,CityGas and Power,79.30,
2026-05-08,FreshMart Grocery,152.40,
2026-05-10,Netflix Subscription,22.99,
2026-05-10,Spotify Subscription,10.99,
2026-05-13,Bella Pasta Restaurant,71.30,
2026-05-15,Work Co.,,2600.00
2026-05-15,Amazon Prime Membership,14.99,
2026-05-18,Whole Foods Market,68.90,
2026-05-21,ExxonMobil Fuel,59.40,
2026-05-24,Steam Gaming Platform,45.00,
2026-05-26,FreshMart Grocery,119.60,
2026-05-28,Freelance.com,,800.00
2026-05-30,Maple Street Diner,35.70,
2026-06-01,Work Co.,,2600.00
2026-06-01,Sunrise Mortgage Co,2100.00,
2026-06-01,Savings Transfer Emergency Fund,500.00,
2026-06-03,ExxonMobil Fuel,72.10,
2026-06-06,CityGas and Power,72.80,
2026-06-09,FreshMart Grocery,138.50,
2026-06-10,Netflix Subscription,22.99,
2026-06-10,Spotify Subscription,10.99,
2026-06-13,Sakura Sushi Bar,91.20,
2026-06-15,Work Co.,,2600.00
2026-06-15,Amazon Prime Membership,14.99,
2026-06-18,Shell Gas Station,68.40,
2026-06-21,Whole Foods Market,84.30,
2026-06-25,FreshMart Grocery,127.80,
2026-06-28,Freelance.com,,800.00
2026-06-28,Ticketmaster Events,125.00,
2026-07-01,Work Co.,,2600.00
2026-07-01,Sunrise Mortgage Co,2100.00,
2026-07-01,Savings Transfer Emergency Fund,500.00,
2026-07-04,Shell Gas Station,71.20,
2026-07-06,CityGas and Power,65.50,
2026-07-09,FreshMart Grocery,165.30,
2026-07-10,Netflix Subscription,22.99,
2026-07-10,Spotify Subscription,10.99,
2026-07-12,The Burger Joint,24.80,
2026-07-15,Work Co.,,2600.00
2026-07-15,Amazon Prime Membership,14.99,
2026-07-17,ExxonMobil Fuel,66.80,
2026-07-20,Whole Foods Market,78.60,
2026-07-22,AMC Cinemas,35.50,
2026-07-25,FreshMart Grocery,143.20,
2026-07-28,Freelance.com,,800.00
2026-07-29,Bella Pasta Restaurant,62.40,
2026-08-01,Work Co.,,2600.00
2026-08-01,Sunrise Mortgage Co,2100.00,
2026-08-01,Savings Transfer Emergency Fund,500.00,
2026-08-03,ExxonMobil Fuel,69.50,
2026-08-06,CityGas and Power,95.60,
2026-08-09,FreshMart Grocery,148.70,
2026-08-10,Netflix Subscription,22.99,
2026-08-10,Spotify Subscription,10.99,
2026-08-14,Sakura Sushi Bar,88.30,
2026-08-15,Work Co.,,2600.00
2026-08-15,Amazon Prime Membership,14.99,
2026-08-18,Shell Gas Station,73.40,
2026-08-22,Whole Foods Market,91.20,
2026-08-26,FreshMart Grocery,132.50,
2026-08-28,Freelance.com,,800.00
2026-08-29,Target Store,115.60,
2026-09-01,Work Co.,,2600.00
2026-09-01,Sunrise Mortgage Co,2100.00,
2026-09-01,Savings Transfer Emergency Fund,500.00,
2026-09-04,Shell Gas Station,65.30,
2026-09-06,CityGas and Power,82.40,
2026-09-09,FreshMart Grocery,139.80,
2026-09-10,Netflix Subscription,22.99,
2026-09-10,Spotify Subscription,10.99,
2026-09-13,Maple Street Diner,44.20,
2026-09-15,Work Co.,,2600.00
2026-09-15,Amazon Prime Membership,14.99,
2026-09-17,ExxonMobil Fuel,62.70,
2026-09-20,Whole Foods Market,76.40,
2026-09-22,CVS Pharmacy,48.30,
2026-09-25,FreshMart Grocery,121.60,
2026-09-28,Freelance.com,,800.00
2026-09-28,Bella Pasta Restaurant,74.90,
2026-10-01,Work Co.,,2600.00
2026-10-01,Sunrise Mortgage Co,2100.00,
2026-10-01,Savings Transfer Emergency Fund,500.00,
2026-10-03,ExxonMobil Fuel,68.90,
2026-10-06,CityGas and Power,98.70,
2026-10-09,FreshMart Grocery,155.20,
2026-10-10,Netflix Subscription,22.99,
2026-10-10,Spotify Subscription,10.99,
2026-10-12,The Burger Joint,29.60,
2026-10-15,Work Co.,,2600.00
2026-10-15,Amazon Prime Membership,14.99,
2026-10-17,Shell Gas Station,60.40,
2026-10-20,Whole Foods Market,85.70,
2026-10-24,Steam Gaming Platform,59.99,
2026-10-27,FreshMart Grocery,118.90,
2026-10-28,Freelance.com,,800.00
2026-10-30,Sakura Sushi Bar,94.60,
2026-11-01,Work Co.,,2600.00
2026-11-01,Sunrise Mortgage Co,2100.00,
2026-11-01,Savings Transfer Emergency Fund,500.00,
2026-11-03,Shell Gas Station,67.80,
2026-11-05,CityGas and Power,115.30,
2026-11-08,FreshMart Grocery,162.40,
2026-11-10,Netflix Subscription,22.99,
2026-11-10,Spotify Subscription,10.99,
2026-11-13,Bella Pasta Restaurant,59.80,
2026-11-15,Work Co.,,2600.00
2026-11-15,Amazon Prime Membership,14.99,
2026-11-17,ExxonMobil Fuel,64.20,
2026-11-20,Whole Foods Market,96.30,
2026-11-22,Target Store,142.80,
2026-11-25,FreshMart Grocery,145.60,
2026-11-27,Maple Street Diner,52.40,
2026-11-28,Freelance.com,,800.00
2026-11-29,AMC Cinemas,41.00,
2026-12-01,Work Co.,,2600.00
2026-12-01,Sunrise Mortgage Co,2100.00,
2026-12-01,Savings Transfer Emergency Fund,500.00,
2026-12-04,ExxonMobil Fuel,71.60,
2026-12-06,CityGas and Power,128.40,
2026-12-09,FreshMart Grocery,178.30,
2026-12-10,Netflix Subscription,22.99,
2026-12-10,Spotify Subscription,10.99,
2026-12-13,Sakura Sushi Bar,105.60,
2026-12-15,Work Co.,,2600.00
2026-12-15,Amazon Prime Membership,14.99,
2026-12-17,Shell Gas Station,69.40,
2026-12-20,Whole Foods Market,112.80,
2026-12-22,Ticketmaster Events,185.00,
2026-12-23,The Burger Joint,35.20,
2026-12-27,FreshMart Grocery,195.40,
2026-12-28,Freelance.com,,800.00
2026-12-30,Target Store,168.90,
